Name	Set	ImageFile	Rarity	Type	Attack	Defense	Movement	Charm	Energy	Skills	Requirements	Uses	Categories	Instructions
A-ko Magami	Set_One	card001,purple	Common	Character	4	4	4	3	0	Student, Strength x3, Acrobatics, Communications				
Agent "D"	Set_One	card004,purple	Common	Character	3	3	2	2	0	Investigation, Survival, Swordsman, Hunter			Alien	Won't attack anyone with Royalty.
Al	Set_One	card006,purple	Common	Character	2	2	2	3	0	Police, Mech, Tech, Driving				Once per game, Al can prevent a non-flying vehicle from being destroyed.
Annapuna	Set_One	card008,purple	Common	Character	3	3	3	4	0	Acrobatics, Streetwise, Seduction, Music			Android	When at some Location with Unipuma, +1 to Anna's Defense.
Ayaka Kisaragi	Set_One	card011,purple	Common	Character	3	2	3	3	3	Investigation, Climbing, Acrobatics, Magic, Blind Luck, Music -1				+1 Damage & Defense vs. Demon, Devil, and Spirit cards.
B-ko Daitokuji	Set_One	card012,purple	Common	Character	2	2	2	3	0	Student, Mech, Tech, Genius, Computer				
Captain Napolipolita	Set_One	card017,purple	Uncommon	Character	2	3	2	2	0	Military, Communications, Bureaucracy, Marksman -1			Alien	
Chaplain	Set_One	card018,purple	Uncommon	Character	2	2	2	3	0	Police, Priest, Streetwise, Savoir-Faire				
Eddie	Set_One	card026,purple	Uncommon	Character	2	2	2	2	0	Computer, Investigation, Police, Communications			Science	
Julian "Pluto" Moore	Set_One	card036,purple	Uncommon	Character	1	3	2	3	0	Computer x2, Genius, Communications, Student			Android	Health 6.
Kozo Karino	Set_One	card040,purple	Common	Character	2	2	3	2	0	Police, Investigation, Savoir-Faire, Streetwise				Kozo may Scavenge ANY police Location without meeting any requirements. Remove food Items from game that Kozo comes in contact with.
Leona Ozaki	Set_One	card043,purple	Common	Character	2	3	2	3	0	Police, Mech, Driving, Survival				Counts toward 1 "Male" requirement for Scavenging a Location.
Lt. Randolph	Set_One	card047,purple	Rare	Character	2	3	2	2	0	Bureaucracy, Police x2, Streetwise				Can defeat any Legal Disaster. May choose not to be affected by any Legal card.
Mamoru Shimesu	Set_One	card052,purple	Uncommon	Character	1	2	2	3	0	Computer, Investigation, Communications, Cooking				
Miss Ayumi	Set_One	card054,purple	Rare	Character	1	2	3	4	0	Teacher, Driving, Seduction				Miss Ayumi may ignore any School Disaster.
Nanami Rokugo	Set_One	card063,purple	Rare	Character	1	2	2	3	4	Student, Fire Element, Cooking				May only use Fire Energy effects. When Nanami plays an Energy Attack, everyone at Location except target plays Rock/Paper/Scissors. If they lose, they take 1/2 damage. Target always takes full damage. Nanami is unaffected.
Naomi Armitage	Set_One	card064,purple	Common	Character	4	3	3	2	0	Police, Investigation, Strength, Marksman			Android	Health 8. Can be brought back from Killed once per game.
Rokkon	Set_One	card076,purple	Common	Character	3	3	2	3	3	Priest, Strength, Climbing, Magic				+1 Energy when attacking any Devil, Demon, or Spirit card.
Ross Sylibus	Set_One	card077,purple	Common	Character	4	3	3	3	0	Investigation x2, Police, Streetwise, Driving			Cyborg	
Specs	Set_One	card085,purple	Common	Character	2	2	2	2	0	Police, Investigation, Communications				Can use any Science card without fulfilling the requirements.
Squad Leader Britain	Set_One	card086,purple	Rare	Character	3	2	2	2	0	Police, Survival, Blind Luck				
Unipuma	Set_One	card096,purple	Common	Character	3	3	3	4	0	Acrobatics, Streetwise, Seduction, Music			Android	When at same Location with Annapuna, add 1 to Uni's Attack.
Young Belldandy	Set_One	card100,purple	Rare	Character	1	2	2	4	4	Magic, Phase, Music			Godling	May stay on the Field no more than 4 Turns without returning to Haven. If Still on Field at the end of 4th turn, Bonk.
A Goddess' Kiss	Set_One	card102,purple	Rare	Enhancement	+1		+1						Move	Add 1 to Attack and Movement.
Akagiyama Missiles	Set_One	card103,purple	Rare	Enhancement	+3						Battlesuit or Robot or Android or Cyborg	2	Missile, Weapon	May only be played with battlesuits or on Robot, Android or Cyborg type Characters.
Data Stream	Set_One	card108,purple	Rare	Enhancement							Computer		Computer, Science	Use any 1 skill from any of your Characters on the Field or in your Haven that have the Computer skill.
Exorcism Circle	Set_One	card110,purple	Rare	Enhancement					4			1	Magic	For the cost of 4 Energy, discard 1 Disaster.
Inhuman Strength	Set_One	card118,purple	Rare	Enhancement									Science	Gives a Character the Strength skill or adds +1 to an existing Strength skill.
