Name	Set	ImageFile	Rarity	Type	Attack	Defense	Movement	Charm	Energy	Skills	Requirements	Uses	Categories	Instructions
Adult Gohan	Set_Two	card002,purple	Rare	Character	5	5	3	2	4	Martial Arts, Chi x2, Flying, Student, Teacher, Driving			Half-Saiyan	
Atlia	Set_Two	card010,purple	Uncommon	Character	2	3	2	2	3	Survival, Strength, Weapons, Swordsman, Pure Heart			Alien, Bugrom, Insect	Count as Bugrom for Bonuses.
Baba	Set_Two	card013,purple	Rare	Character	1	2	4	2	5	Magic, ESP, Flying, Communications, Investigation x2, Phase			Dimensional	Every third turn, Baba can revive either one of your Killed Characters or Defeated Disasters. Place it at any Location. It stays in play for 1 turn. (You will control the Character, but not the disaster.)
Baby Gohan	Set_Two	card014,purple	Common	Character	1/6	2/10	2/4	4/0	2/6	Pure Heart x2, Investigation, Chi, Student			Half-Saiyan	Transforms at the Full Moon. When transformed treat as a Major Combat Disaster. If another Character in his group is reduced to Health < 2, Gohan is +4 Damage the following Combat round (not if he is in Were-form).
Bubbles	Set_Two	card015,purple	Rare	Character	0	3	3	5	0	Strength, Speed			Animal, Dimensional	All other Characters in Bubbles' Party get +1 Attack & Defense
Bulma	Set_Two	card016,purple	Common	Character	2	2	3	4	0	Genius, Tech x2, Mech, Computer, Investigation, Communications, Pilot			Science	Any player with Bulma in play may play 2 Equipment cards each turn during the Equip phase, instead of 1 (if available in hand).
Chi-Chi	Set_Two	card019,purple	Common	Character	2	2	3	3	0	Royalty, Teacher, Cooking, Medic, Weapons, Martial Arts, Driving -1				Chi-Chi wont attack Gohan. When at the same location as Gohan, Chi-Chi is +1 Attack. If Gohan is Attacked by another Character, Chi-Chi automatically attacks that Character at +3 Attack
Chiao-Tzu	Set_Two	card020,purple	Rare	Character	1	1	2	4	5	Royalty, Chi, Phase, ESP, Martial Arts, Flying				Every third turn, Chiao-Tzu can paralyze one Character at his location for 1 round of Physical Combat.
Farmer with shotgun	Set_Two	card027,purple	Common	Character	2	1	4	1	0	Mech, Driving, Hunter, Blind Luck -1, Music				All Characters in the Farmer's party are at Movement = 4.
Future Trunks	Set_Two	card028,purple	Ultra Rare	Character	6	6	3	3	5	Martial Arts, Chi x2, Streetwise, Computer, Flying, Mech, Strength, Swordsman x3			Half-Saiyan, Dimensional	Stays in play a maximum of 3 turns, then is shuffled back into the owner's Draw pile.
