Name	Set	ImageFile	Rarity	Type	Attack	Defense	Movement	Charm	Energy	Skills	Requirements	Uses	Categories	Instructions
Afura Mann	Set_Zero	card003,purple	Common	Character	3	3	2	4	3	Priest, Savoir-Faire, Flying, Air Element				+1 all air effects.
Akane Tendo	Set_Zero	card005,purple	Uncommon	Character	4	4	3	3	4	Martial Arts, Cooking -1, Student				
Armitage	Set_Zero	card009,purple	Promotional	Character	4	4	3	1	0	Police, Investigation, Strength				Damage 2x Health reduces attack to 2. 3x Bonks, 4x Kills.
Chief Servant Londs	Set_Zero	card021,purple	Common	Character	2	2	2	2	0	Savoir-Faire, Bureaucracy, Military, Police				Can use up to 3 Palace Guards, additional to Player's other allowance.
Dailey Wong	Set_Zero	card022,purple	Uncommon	Character	2	2	2	4	0	Police, Bureaucracy, Investigation, Savoir-Faire				Cancels Red tape Disaster.
Detective Kiyone	Set_Zero	card023,purple	Rare	Character	3	3	2	3	0	Police, Investigation, Streetwise				
Detective Mihoshi	Set_Zero	card024,purple	Uncommon	Character	2	3	2	3	0	Investigation, Police, Blind Luck				
Dr. Tofu	Set_Zero	card025,purple	Rare	Character	3	3	2	3	4	Medic, Martial Arts x2				While with a group, no Character can be Bonked or Killed. If Kasumi is in play, Dr. Tofu cannot perform any actions.
Genma Saotome	Set_Zero	card030,purple	Rare	Character	3/4	3/3	2/2	2/3	3/1	Teacher, Martial Arts, Survival, Climbing				
Katsuhiko Jinnai	Set_Zero	card038,purple	Common	Character	1	3	2	1	1	Communications x2, Streetwise, Bureaucracy, Student				Can not be Attacked by Combat Disasters. All Combat Disasters are +1 Attack & Defense when Jinnai is in play.
Kiriya	Set_Zero	card039,purple	Rare	Character	3	3	3	3	3	Marksman, Hunter, Streetwise, *Any Skill				*May declare any 1 additional skill during Equip Phase.
Leon McNichol	Set_Zero	card042,purple	Common	Character	2	2	2	4	0	Driving, Police, Streetwise, Marksman, Survival				
Linna Yamazaki	Set_Zero	card044,purple	Uncommon	Character	2	2	3	4	0	Acrobatics, Driving, Teacher				
Lisa Vannett	Set_Zero	card045,purple	Rare	Character	1	2	3	4	0	Police, Student, Investigation				
Little Washu	Set_Zero	card046,purple	Common	Character	2/3	4/3	2/3	2/4	6/5	Computer, Genius x2, Mech, Tech, Teacher, Medical			Dimensional	All other characters in party are at +1 Health
Mackie Stingray	Set_Zero	card049,purple	Rare	Character	2	2	3	2	0	Mech, Tech, Pilot, Computer				
Magical Girl Pretty Sammy	Set_Zero	card050,purple	Rare	Character	3/1	3/2	3/2	4/4	3/1	Magic, Communications, Investigation				
Makoto Mizuhara	Set_Zero	card051,purple	Common	Character	1	2	2	5	2	Savoir-Faire, Royalty, Student, Blind Luck				Can use any Equipment. Can Charm Battle for control of Power Key Staff.
Miz Mishtal	Set_Zero	card055,purple	Uncommon	Character	3	3	2	4	3	Priest, Bureaucracy, Water Element				+1 all water effects.
Mousse	Set_Zero	card056,purple	Rare	Character	3/1	3/2	2/2	2/2	2/1	Martial Arts, Marksman, Acrobatics				Can Equip anywhere and once per Turn anytime.
Mr. Masamichi Fujisawa	Set_Zero	card057,purple	Common	Character	5/2	5/2	3/2	3/3	2/2	Teacher, Climbing, Survival, Strength x2				Super-strength off Earth except when drunk. Use 1st stats and Strength skill 2 of 3 turns. Every third turn, Mr. Fujisawa has had a bit too much to drink. Use 2nd stats and no Strength skill.
Mr. Panda	Set_Zero	card058,purple	Rare	Character	4/3	3/3	2/2	3/2	1/3	Survival, Climbing				
Mu-Mu Chan	Set_Zero	card059,purple	Rare	Character	1/3	2/3	2/2	2/2	1/2	Flying, Survival				
Nabiki Tendo	Set_Zero	card060,purple	Common	Character	1	3	3	3	0	Bureaucracy, Streetwise, Savoir-Faire, Investigation, Student				
Nanami Jinnai	Set_Zero	card062,purple	Uncommon	Character	1	2	2	4	2	Investigation, Student, Cooking, Survival				Cancels all disguises. All disasters -2 Charm
Nene Romanova	Set_Zero	card065,purple	Common	Character	1	2	2	3	0	Computer x2, Police, Communications				+1 against all computers.
P-Chan	Set_Zero	card068,purple	Uncommon	Character	1/3	2/4	2/3	4/2	0/3	Survival, Blind Luck				Head in random direction every 3rd Move. +2 Charm against all females
Princess Ayeka	Set_Zero	card070,purple	Uncommon	Character	2	3	2	3	2	Royalty, Pilot, Bureaucracy				
Princess Sasami	Set_Zero	card071,purple	Uncommon	Character	1/3	2/3	2/3	4/4	1/3	Cooking, Royalty, Student				
Priss Asagiri	Set_Zero	card072,purple	Common	Character	3	2	2	4	0	Music, Driving, Streetwise, Survival				
Ranma Saotome (boy type)	Set_Zero	card073,purple	Common	Character	4/3	3/4	2/3	3/4	3/3	Martial Arts, Climbing, Survival, Student, Acrobatics				Ranma can use ANY equipment for a +1 attack bonus once per turn
Ranma Saotome (girl type)	Set_Zero	card074,purple	Common	Character	3/4	4/3	3/2	4/3	3/3	Martial Arts, Cooking, Seduction, Student, Acrobatics, Climbing				Ranma can use ANY equipment for a +1 attack bonus once per turn
Reika "Vision" Chang	Set_Zero	card075,purple	Rare	Character	3	2	2	5	0	Music, Driving, Marksman, Seduction				If GD-42 and Quincy are in play, you may opt to Bonk Vision to defeat both.
Ryo-Ohki (Cabbit)	Set_Zero	card078,purple	Common	Character	1/6	2/7	1/1	5/1	0/0	Computer, Phase, Flying				Ship form can carry up to 4 characters and equipment.
Ryo-Ohki (Ship)	Set_Zero	card079,purple	Common	Character	6/1	7/2	1/1	1/5	0/0	Computer x2, Flying			Planetary	Ship form can carry up to 4 characters and equipment.
Ryoga Hibiki	Set_Zero	card080,purple	Uncommon	Character	3/1	4/2	3/2	2/4	3/0	Strength x2, Survival, Acrobatics, Martial Arts				Head in random direction every 3rd Move.
Ryoko	Set_Zero	card081,purple	Common	Character	4	4	3	3	4	Pilot, Streetwise, Seduction, Flying, Phase, Strength				Will not attack Tenchi.
Shampoo	Set_Zero	card082,purple	Uncommon	Character	3/1	3/3	2/3	3/4	2/2	Martial Arts, Cooking, Hunter, Acrobatics				
Shampoo (Cat)	Set_Zero	card083,purple	Uncommon	Character	1/3	3/3	3/2	4/3	2/2	Climbing, Survival				
Shayla-Shayla	Set_Zero	card084,purple	Uncommon	Character	3	3	2	3	4	Priest, Acrobatics, Fire Element				+1 all Fire effects.
Sylia Stingray	Set_Zero	card090,purple	Uncommon	Character	2	2	2	3	0	Computer, Pilot, Tech, Bureaucracy, Genius, Mech, Streetwise				
Sylvie	Set_Zero	card091,purple	Rare	Character	2	2	2	6	0	Pilot, Acrobatics, Seduction, Computer, Driving, Strength				Can not be attacked by the 33-S Disaster.
Tenchi Masaki	Set_Zero	card092,purple	Uncommon	Character	2	2	2	3	5	Student, Savoir-Faire, Royalty				
Ukyo Kuonji	Set_Zero	card095,purple	Rare	Character	3	4	2	3	2	Martial Arts, Cooking x2, Student				Will not attack Ranma
Washu	Set_Zero	card097,purple	Uncommon	Character	3/2	3/4	3/2	4/2	5/6	Computer, Genius x2, Teacher, Medical, Seduction			Dimensional	All other characters in party are +1 Health.
Assassin Disquise	Set_Zero	card104,purple	Uncommon	Enhancement										Appear as oppsite sex. Hide 1 item so it is not detected by disasters. Lingerie.
Clean Livin'	Set_Zero	card107,purple	Rare	Enhancement	+1	+1		-2						+1 Attack and Defense -2 Charm Mr. Fujisawa gains +2. 1 use per Character
Fatora Disquise	Set_Zero	card111,purple	Uncommon	Enhancement										Gives 1 character Royalty skill or +1 to an existing skill.
Gene Doubling	Set_Zero	card112,purple	Uncommon	Enhancement					-2				Science	Double 1 Character's skills. -2 Energy.
I'm Buyin'	Set_Zero	card116,purple	Common	Enhancement										Makes any 1 Character drunk. Stats -2 to a minimum of 1. Duration: 3 turns. If Mr. Fujisawa is in play, he is automaticlly affected.
Jump	Set_Zero	card121,purple	Rare	Enhancement										Party can "jump" over 1 Location during Movement. Use twice, then discard.
Juraian Battlesuit	Set_Zero	card122,purple	Uncommon	Enhancement	+1	+1	+1		+2					+1 Attack, Defense and Movement. 2 Energy cost to use.
Juraian Ultra Battlesuit	Set_Zero	card123,purple	Rare	Enhancement	+2	+2	+1		4					+2 Attack and Defense, +1 Movement. 1/2 cost for Tenchi.
Maid Disquise	Set_Zero	card126,purple	Uncommon	Enhancement										Gives 1 character the Investigation skill or adds to an existing skill.
Medical Disguise	Set_Zero	card127,purple	Uncommon	Enhancement										Gives 1 Character Medical skill or +1 to an existing skill.
Military Disquise	Set_Zero	card128,purple	Common	Enhancement										Gives 1 Character Military skill or +1 to an existing skill.
Mountain Man	Set_Zero	card130,purple	Common	Enhancement										Give 1 character Climbing skill or +1 to an existing skill.
Pass Around	Set_Zero	card131,purple	Common	Enhancement										Use any 1 Equipment or Item carried by opponent. Duration: 4 turns.
Peeping Disguise	Set_Zero	card134,purple	Uncommon	Enhancement										Gives 1 character Peeping skill or +1 to an existing skill.
Personal Training	Set_Zero	card135,purple	Uncommon	Enhancement	+1	+1								Intense workouts increase Attack & Defense +1. Non-cumulative.
Police Disguise	Set_Zero	card137,purple	Rare	Enhancement										Gives 1 character Police skill or +1 to an existing skill.
Power Chi	Set_Zero	card139,purple	Rare	Enhancement					3					Use 3 energy to make 1 additional attack this combat round.
Servant	Set_Zero	card142,purple	Uncommon	Enhancement										Equip at any Location. Number of uses is equal to Characters Charm. Or discard to pull 1 Equipment from Draw deck.
Teacher Disguise	Set_Zero	card149,purple	Common	Enhancement									Science	Gives 1 Character Teacher skill or +1 to an existing skill.
This Device	Set_Zero	card150,purple	Uncommon	Enhancement									Science	Gives 1 Character the Genius skill or +1 to an existing skill.
Wedding Jewels	Set_Zero	card152,purple	Common	Enhancement				+2						+2 to 1 Character's Charm.
Wings Of The Light Hawk	Set_Zero	card154,purple	Rare	Enhancement		+2			6					+2 Defense. Blocks 1 Attack per Combat, For Tenchi effect is doubled (+4 Defense and 2 Attacks blocked).
Yukinojo	Set_Zero	card157,purple	Uncommon	Enhancement										Gives 1 Character or Vehicle a Pilot skill or +1 to an existing skill.
Attack Pods	Set_Zero	card162,purple	Common	Equipment	+1		4							Able to carry one character with all equipment (no vehicles). +1 to Attack.
Control Cube	Set_Zero	card169,purple	Uncommon	Equipment									Dimensional	Able to Enter and Attempt Dimensional Locations. Can equip anywhere, any Phase, up to 3 pieces.
Desert Skimmer	Set_Zero	card170,purple	Uncommon	Equipment			+4							Carries 4 characters and their equipment, excluding vehicles.
Dimensional Hammer	Set_Zero	card171,purple	Common	Equipment	+2									Equip as Flash Effect. +2 to Attack. 3 uses. Can't be Stolen or Destroyed.
Hand Computer	Set_Zero	card179,purple	Common	Equipment										Computer skill or +1 to existing skill.
K-12 Battlesuit	Set_Zero	card182,purple	Uncommon	Equipment	5	5	3							Stats increase to those listed. Gain Flying & Strength skills.
Lamp of Fire	Set_Zero	card184,purple	Rare	Equipment	+1	+1			+1					Muldoon Artifact. Gives Fire Element. Adds +1 to Attack, Defense and Energy.
Lamp of the Winds	Set_Zero	card185,purple	Rare	Equipment	+1	+1			+1					Muldoon Artifact. Gives Air Element and Flying. Adds +1 to Attack, Defense and Energy.
Leon's Boomer Rifle	Set_Zero	card186,purple	Rare	Equipment	+2									+2 Attack Reload or Discard after 3 uses.
Leon's Missle Gun	Set_Zero	card187,purple	Uncommon	Equipment	+3									+3 Attack. Discard after 1 use or Reload.
Linna's Hardsuit	Set_Zero	card189,purple	Uncommon	Equipment	+1	+1	+1							Flying skill. Linna's Bonuses are +2, and her "knuckle buster" concusser glove doubles all Combat card Attack bonuses.
Mackie's Battlesuit	Set_Zero	card190,purple	Rare	Equipment	5	5	3							Stats increase to those listed. Gain Flying, Strength, and Computer skills.
Mihoshi's Laser Pistol	Set_Zero	card193,purple	Common	Equipment	+2									+2 Attack. Discard after 6 uses or reload.
Nene's Hardsuit	Set_Zero	card195,purple	Uncommon	Equipment	+1	+1	+1							Computer skill. Nene's bonuses are +2
Priss' Hardsuit	Set_Zero	card198,purple	Uncommon	Equipment	+1	+1	+1							Strength skill. Priss' bonuses are +2, and her pin darts always do at least 1 point of Damage.
Pruning Shears	Set_Zero	card199,purple	Common	Equipment		-2								Use to reduce an opponent's Defense by 2.
Ring of Water	Set_Zero	card202,purple	Rare	Equipment	+1	+1			+1					Muldoon Artifact. Gives Water Element. Adds +1 to Attack, Defense and Energy.
Royal Flying Barge	Set_Zero	card206,purple	Uncommon	Equipment			4							Requires: Pilot or Royalty Carries up to 6 characters and their Equipment including 1 vehicle.
Shuttle Craft	Set_Zero	card209,purple	Common	Equipment			1						Planetary	Character(s) can Enter and Attempt Planetary Location.
Sylia's Hardsuit	Set_Zero	card211,purple	Uncommon	Equipment	+1	+1	+1							Flying skill. Sylia's bonuses are +2. Every 3rd round of Combat, she is in close quarters and is able to use her cutting blade. Her Attack bonus increases to +4.
The Masaki Van	Set_Zero	card212,purple	Common	Equipment			+3							Carries up to 5 characters and their Equipment. Characters may equip from the van without returning to Haven.
Transmitter Bra	Set_Zero	card214,purple	Rare	Equipment										Instantly move 1 Character to your Location from anywhere on the Field. 2 uses. Lingerie & Computer
Tsunami	Set_Zero	card215,purple	Uncommon	Equipment	9	12	3						Planetary	With the Master Key and 3 Power gems, use as Haven. Carry up to 8 Characters.
Ura, The Armor Cat	Set_Zero	card216,purple	Uncommon	Equipment		+2								+2 Defense and Climbing skill.
Vision's Private Jet	Set_Zero	card217,purple	Rare	Equipment			4				Pilot			Can carry up to 4 Characters. For Total Move, in any given turn, can jump over an open area on Field or exit one side of Field and enter another..
Ambulance	Set_Zero	card219,purple	Common	Flash Effect										Allows a group or Character to make another full movement.
Angel of Mercy	Set_Zero	card220,purple	Rare	Flash Effect										Re-shuffle any 2 discarded non-Character cards back into your Draw Pile OR bring 1 dead Character back into play.
Assisted Flight	Set_Zero	card222,purple	Common	Flash Effect										Gives 1 Character the Flying skill. Duration: 3 turns.
Bad Reputation	Set_Zero	card226,purple	Rare	Flash Effect				-2	0					Reduce opponent's Charm by 2.
Big Sucker Gas Slash	Set_Zero	card227,purple	Uncommon	Flash Effect	+2				2					+2 Attack. -2 Energy.
Equipment Breakdown	Set_Zero	card239,purple	Uncommon	Flash Effect										Choose 1 peice of Equipment to be discarded.
Female Jealousy	Set_Zero	card242,purple	Uncommon	Flash Effect										No opposing female Characters can work together this turn for Combat or Scavenging.
Fire Shield	Set_Zero	card243,purple	Uncommon	Flash Effect		2			3					For Cost of 3 Energy, add +2 to defense.
Flying Block	Set_Zero	card244,purple	Common	Flash Effect										No Damage from 1 Attack
Go Fish	Set_Zero	card250,purple	Uncommon	Flash Effect										Draw 1 card from your Draw pile. If it is a Disaster, discard it.
Jail Break	Set_Zero	card259,purple	Common	Flash Effect										Frees any jailed or captured Character.
Medical Treatment	Set_Zero	card271,purple	Common	Flash Effect										Restore any non-discarded Character to full health.
Mihoshi's Driving	Set_Zero	card273,purple	Uncommon	Flash Effect										Place 1 destroyed Vehicle back in hand.
Misdirection	Set_Zero	card276,purple	Common	Flash Effect										Control direction and distance of movement by any Character or Disaster in motion, within it's current motion limits.
Pay Attention	Set_Zero	card284,purple	Rare	Flash Effect										Immobilize any 1 Character or Disaster for 1 Turn.
Possession	Set_Zero	card287,purple	Rare	Flash Effect										Use 1 of Opponent's Characters for 1 turn.
Reload	Set_Zero	card290,purple	Common	Flash Effect										Restores any weapon to full number of uses.
Reverse Attack	Set_Zero	card292,purple	Uncommon	Flash Effect										Reverse the effects of one Attack.
Royal Librarian	Set_Zero	card294,purple	Rare	Flash Effect										Take any 3 cards from Draw Pile. Place 1 in your hand, Place the other 2 at the top of the Pile. Remove Librarian from game.
Shi Chi Hokodan	Set_Zero	card297,purple	Common	Flash Effect	+4				*					For the entire amount of a Character's Energy (minimum of 3) gain +4 to 1 attack.
Spotlight	Set_Zero	card300,purple	Rare	Flash Effect										All players must play the next 3 turns with hands face up.
Stand Up Straight	Set_Zero	card301,purple	Common	Flash Effect										Any Character at 0 is brought back to full health and can act this round.
Supreme Battle Aura	Set_Zero	card305,purple	Rare	Flash Effect										Cast any 1 Energy effect with no Energy cost.
Taunt	Set_Zero	card307,purple	Common	Flash Effect										Causes opponent to be at -1 Attack and -2 Defense for 1 combat round.
Temporal Disturbance	Set_Zero	card309,purple	Rare	Flash Effect										Characters or Disasters at 1 Location unable to move for 1 Turn.
Training Partner	Set_Zero	card311,purple	Rare	Flash Effect										If Personal Training is in play, use to increase 1 stat by +2 for 1 character for this combat round.
Washu's Space Time Converter	Set_Zero	card314,purple	Promotional	Flash Effect										Immediately cancel the results of 1 combat
Water Kettle	Set_Zero	card315,purple	Uncommon	Flash Effect										Allows a Character to transform instantly. You may have up to 6 in Draw deck.
Water Spear	Set_Zero	card316,purple	Common	Flash Effect	+2				2					For a cost of 2 Energy, Add 2 to Attack.
Wrath of the Eye of God	Set_Zero	card318,purple	Rare	Flash Effect										Destroys any card in play except Havens.
Yoiko-no-taiso Step 1	Set_Zero	card319,purple	Uncommon	Flash Effect										Successful attack Bonks opponent and their Attack strength is added to yours next Combat round.
Briefing	Set_Zero	card323,purple	Common	Global Effect										View top 4 cards of your Draw Pile. Replace in any order you wish. 2 uses.
Combat Training	Set_Zero	card326,purple	Uncommon	Global Effect	+1	+1								All Characters gain +1 attack and +1 defense for each Combat Training in play up to 3.
Dr. Raven	Set_Zero	card327,purple	Uncommon	Global Effect									Science	All Equipment destroyed while in play is reshuffled into Draw deck.
